==PROF== Connected to process 1170302 (/root/miniconda3/envs/pytorch/bin/python3.10)
profile driver done
==PROF== Disconnected from process 1170302
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","dram__bytes.sum","byte","10251008"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","25120"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.avg","cycle","47435.29"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.max","cycle","50400"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.min","cycle","44100"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.sum","cycle","3225600"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.avg","cycle","42134.59"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.max","cycle","44768"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.min","cycle","39172"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.sum","cycle","2865152"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__inst_executed.sum","inst","4391936"
"0","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_integer_pred_on.sum","inst","46333952"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","dram__bytes.sum","byte","10269344"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","25120"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.avg","cycle","47435.29"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.max","cycle","50400"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.min","cycle","44100"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.sum","cycle","3225600"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.avg","cycle","42134.59"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.max","cycle","44768"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.min","cycle","39172"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.sum","cycle","2865152"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__inst_executed.sum","inst","4391936"
"1","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:36","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_integer_pred_on.sum","inst","46333952"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","dram__bytes.sum","byte","10262368"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","25472"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.avg","cycle","47435.29"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.max","cycle","50400"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.min","cycle","40950"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.sum","cycle","3225600"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.avg","cycle","42134.59"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.max","cycle","44768"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.min","cycle","36374"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.sum","cycle","2865152"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__inst_executed.sum","inst","4391936"
"2","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_integer_pred_on.sum","inst","46333952"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","dram__bytes.sum","byte","10267616"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","gpu__time_duration.sum","nsecond","26272"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.avg","cycle","47435.29"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.max","cycle","50400"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.min","cycle","44100"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_alu_cycles_active.sum","cycle","3225600"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.avg","cycle","42134.59"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.max","cycle","44768"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.min","cycle","39172"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__pipe_fma_cycles_active.sum","cycle","2865152"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__inst_executed.sum","inst","4391936"
"3","1170302","python3.10","127.0.0.1","<unnamed>::int4gemv_rowtile4_hx_kernel(const uint4 *, const __half *, const uint4 *, __half *, long, long)","2026-Sep-22 13:08:37","1","7","Command line profiler metrics","sm__sass_thread_inst_executed_op_integer_pred_on.sum","inst","46333952"
